0.135417	0	0	0	0	0	0	0	-0.0182292	-0.0208333	0	0	0	0	0	0	0	-0.0677083	0	0	-0.0234375	0	0.0234375	0	0	0	0	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0.229167	0	0	0	0	0	0	-0.03125	-0.109375	0	0	0	0	0	0	0	0	-0.0338542	0	0	0	0.0494792	0	-0.0286458	0	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0.291667	0	0	0	0	0	0	0	-0.0989583	-0.0338542	0	0	0	-0.0989583	0	0	0	-0.0286458	0	0	0	-0.0286458	0.0729167	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0.1875	0	0	0	0	0	0	-0.0442708	-0.0442708	0	0	0	0	-0.0442708	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-0.0182292	0	0	0	0	0	0	0	0.135417	0	0	0	0	0	0	0	0	0	0	0	-0.0338542	0	-0.0598958	0	0	0	0	
-0.0208333	0	-0.03125	0	0	0	0	0	0	0.34375	-0.0338542	0	0	0	0	0	0	-0.0182292	0	0	-0.111979	0	0	0	0	-0.127604	0.0625	
0	0	-0.109375	0	0	0	0	0	0	-0.0338542	0.427083	0	0	0	0	0	0	0	0	0	-0.0546875	0	0	-0.138021	0	0.0729167	-0.0625	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	-0.0989583	0	0	0	0	0	0	0	0.385417	0	0	0	0	0.0338542	0	0	0	-0.0598958	-0.101563	0	0	0	-0.0625	
0	0	0	0	-0.0338542	0	-0.0442708	0	0	0	0	0	0	0.510417	-0.0390625	0	0	0	0	-0.0390625	0	-0.169271	0	0.09375	0	-0.169271	0	
0	0	0	0	0	0	-0.0442708	0	0	0	0	0	0	-0.0390625	0.427083	0	0	0	0	0.0598958	0	-0.0807292	0	-0.179688	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
-0.0677083	0	0	0	-0.0989583	0	0	0	0	-0.0182292	0	0	0.0338542	0	0	0	0	0.385417	0	0	0.0520833	0	-0.101563	0	0	-0.0598958	-0.0625	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
0	0	-0.0338542	0	0	0	-0.0442708	0	0	0	0	0	0	-0.0390625	0.0598958	0	0	0	0	0.427083	0	0	0	-0.179688	0	-0.0807292	0	
-0.0234375	0	0	0	0	0	0	0	-0.0338542	-0.111979	-0.0546875	0	0	0	0	0	0	0.0520833	0	0	0.489583	0	-0.0416667	0	0	0	-0.208333	
0	0	0	0	-0.0286458	0	0	0	0	0	0	0	-0.0598958	-0.169271	-0.0807292	0	0	0	0	0	0	0.822917	0	-0.0833333	0	0.0833333	-0.291667	
0.0234375	0	0	0	0	0	0	0	-0.0598958	0	0	0	-0.101563	0	0	0	0	-0.101563	0	0	-0.0416667	0	0.447917	0	0	0	-0.104167	
0	0	0.0494792	0	0	0	0	0	0	0	-0.138021	0	0	0.09375	-0.179688	0	0	0	0	-0.179688	0	-0.0833333	0	0.864583	0	-0.0833333	-0.145833	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
0	0	-0.0286458	0	-0.0286458	0	0	0	0	-0.127604	0.0729167	0	0	-0.169271	0	0	0	-0.0598958	0	-0.0807292	0	0.0833333	0	-0.0833333	0	0.822917	-0.291667	
0	0	0	0	0.0729167	0	0	0	0	0.0625	-0.0625	0	-0.0625	0	0	0	0	-0.0625	0	0	-0.208333	-0.291667	-0.104167	-0.145833	0	-0.291667	1.25	
